Campaign_id,start_date,end_date,Impression,duration_days,CW0,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15,CW16,CW17,CW18,CW19,CW20,CW21,CW22,CW23,CW24,CW25,CW26,CW27,CW28,CW29,CW30,CW31,CW32,CW33,CW34,CW35,CW36,CW37,CW38,CW39,CW40,CW41,CW42,CW43,CW44,CW45,CW46,CW47,CW48,CW49,CW50,CW51,CW52,total_weeks
52253945,2017-01-19 00:00:00,2017-01-19 00:00:00,2393092,1,0,0,0,2393092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52254228,2017-12-21 00:00:00,2017-12-21 00:00:00,1567490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567490,0,1
52255162,2017-04-13 00:00:00,2017-04-19 00:00:00,21034253,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12019573,9014680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52255182,2017-01-27 00:00:00,2017-01-27 00:00:00,5592817,1,0,0,0,0,5592817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52256653,2017-11-01 00:00:00,2017-11-02 00:00:00,1494159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494159,0,0,0,0,0,0,0,0,1
52256799,2017-10-11 00:00:00,2017-10-11 00:00:00,31592152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31592152,0,0,0,0,0,0,0,0,0,0,0,1
52257975,2017-10-29 00:00:00,2017-11-04 00:00:00,2182534,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311791,1870743,0,0,0,0,0,0,0,0,2
52258246,2017-09-12 00:00:00,2017-09-12 00:00:00,3591921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52258258,2017-12-21 00:00:00,2017-12-31 00:00:00,2022025,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735282,1286743,2
52258569,2017-08-05 00:00:00,2017-08-05 00:00:00,1550999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
